FAC_PARTY_ID,SERVICE_TYPE_CD,NAME,ADDRESS_1,ADDRESS_2,CITY,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE,WEBSITE,EMAIL,OP_WEEKDAY_YN,OP_WEEKEND_YN,OP_STAT_HOLIDAY_YN,OP_OVERNIGHT_YN,OP_EXT_WEEKDAY_BEFORE6AM_YN,OP_EXT_WEEKDAY_AFTER7PM_YN,SRVC_UNDER36_YN,SRVC_30MOS_5YRS_YN,SRVC_LICPRE_YN,SRVC_OOS_KINDER_YN,SRVC_OOS_GR1_AGE12_YN,LANG_CANTONESE_YN,LANG_PUNJABI_YN,LANG_MANDARIN_YN,LANG_FRENCH_YN,LANG_SPANISH_YN,LANG_OTHER_YN,PROVIDE_CD_MEALS,PROVIDE_CD_PICKUP,PRESCHOOL_MORNING_YN,PRESCHOOL_MIDDAY_YN,PRESCHOOL_AFTERNOON_YN,ABORIGINAL_PROGRAMMING_YN,ACCOMMODATE_SPECIAL_NEEDS,ECE_CERTIFICATION_YN,ELF_PROGRAMMING_YN,VACANCY_SRVC_UNDER36,VACANCY_SRVC_30MOS_5YRS,VACANCY_SRVC_LICPRE,VACANCY_SRVC_OOS_GR1_AGE12,VACANCY_LAST_UPDATE,HA_FAC_INSPEC_RPTS,IS_INCOMPLETE_IND,IS_CCFRI_AUTH,IS_DUPLICATE,popup
1,Licensed Group,Bonnie Bairns Childcare Services,2260 Philip Ave,,North Vancouver,V7P 2W8,49.330395,-123.112745,604-983-2600,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2026-02-02,https://inspections.vcha.ca/ChildCare/Table,N,Y,N,Bonnie Bairns Childcare Services<br>Licensed Group<br>604-983-2600<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
2,Licensed Group,Willow Point Children's Centre,200 Larwood Rd,,Campbell River,V9W 2S1,49.967369,-125.21629,250-923-0484,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-01-31,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,Y,N,Willow Point Children's Centre<br>Licensed Group<br>250-923-0484<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
3,Licensed Group,Le' Lum' Uy' Lh,5588 River Rd,,Duncan,V9L 6V9,48.774361,-123.707365,250-715-1022,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not offered,Not offered,N,N,N,N,N,N,N,N,N,N,N,2026-01-13,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,Y,N,Le' Lum' Uy' Lh<br>Licensed Group<br>250-715-1022<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
4,Licensed Group,Victoria Children's Centre,1515 Blanshard St,,Victoria,V8W 3C8,48.428183,-123.361025,250-380-2484,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-02-01,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,Y,N,Victoria Children's Centre<br>Licensed Group<br>250-380-2484<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
5,Licensed Group,Forest Grove Childcare Centre,36-8650 Cinnamon Dr,,Burnaby,V5A 4H7,49.264565,-122.914866,604-339-6340,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,Y,N,N,2026-01-15,http://www.healthspace.ca/fha/childcare,N,Y,N,Forest Grove Childcare Centre<br>Licensed Group<br>604-339-6340<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
6,Licensed Group,mcgregor Child Care Centre (0 - 3 Gdc),1155 Broadway E,,Vancouver,V5T 4V5,49.263354,-123.080381,778-783-5147,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-01-16,https://inspections.vcha.ca/ChildCare/Table,N,Y,N,mcgregor Child Care Centre (0 - 3 Gdc)<br>Licensed Group<br>778-783-5147<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
7,Licensed Group,Eco Kids Care Inc.,6256 Mt Lehman Rd,,Abbotsford,V4X 2G5,49.115834,-122.381674,778-549-0766,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-01-15,http://www.healthspace.ca/fha/childcare,N,Y,N,Eco Kids Care Inc.<br>Licensed Group<br>778-549-0766<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
8,Licensed Group,Laugh And Learn Children Centre Branch,5412 Vedder Rd,,Chilliwack,V2R 3M4,49.100184,-121.962297,604-824-8984,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,Y,N,N,2026-01-15,http://www.healthspace.ca/fha/childcare,N,Y,N,Laugh And Learn Children Centre Branch<br>Licensed Group<br>604-824-8984<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
9,Licensed Group,Shannon Day Care,290-1200 73Rd Ave W,,Vancouver,V6P 6G5,49.203994,-123.133622,604-263-3421,,,Y,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,Not offered,Not offered,N,N,N,N,Y,Y,Y,N,N,N,N,2026-01-14,https://inspections.vcha.ca/ChildCare/Table,N,Y,N,Shannon Day Care<br>Licensed Group<br>604-263-3421<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
10,Licensed Group,West Point Grey Under Three Day Care,1708 West 16Th Ave,,Vancouver,V6J 2M1,49.256848,-123.144396,604-568-9002,,,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Not offered,Not offered,Y,Y,Y,N,Y,Y,Y,N,N,N,N,2026-01-15,https://inspections.vcha.ca/ChildCare/Table,N,Y,N,West Point Grey Under Three Day Care<br>Licensed Group<br>604-568-9002<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
